Rank,Metro ,States,Population 2019,Population 2010,Growth ,,,,
43,Memphis,TN-MS-AR MSA,1346045,1316100,2.28%,,"1,346,045","1,316,100","Memphis, TN-MS-AR MSA"
44,Richmond,VA MSA,1291900,1186501,8.88%,,"1,291,900","1,186,501","Richmond, VA MSA"
45,New Orleans-Metairie,LA MSA,1270530,1189866,6.78%,,"1,270,530","1,189,866","New Orleans-Metairie, LA MSA"
46,Louisville/Jefferson County,KY-IN MSA,1265108,1202718,5.19%,,"1,265,108","1,202,718","Louisville/Jefferson County, KY-IN MSA"
47,Salt Lake City,UT MSA,1232696,1087873,13.31%,,"1,232,696","1,087,873","Salt Lake City, UT MSA"
48,Hartford-East Hartford-Middletown,CT MSA,1204877,1212381,−0.62%,,"1,204,877","1,212,381","Hartford-East Hartford-Middletown, CT MSA"
49,Buffalo-Niagara Falls,NY MSA,1127983,1135509,−0.66%,,"1,127,983","1,135,509","Buffalo-Niagara Falls, NY MSA"
50,Birmingham-Hoover,AL MSA,1090435,1061024,2.77%,,"1,090,435","1,061,024","Birmingham-Hoover, AL MSA"
51,Grand Rapids-Kentwood,MI MSA,1077370,993670,8.42%,,"1,077,370","993,670","Grand Rapids-Kentwood, MI MSA"
52,Rochester,NY MSA,1069644,1079671,−0.93%,,"1,069,644","1,079,671","Rochester, NY MSA"
53,Tucson,AZ MSA,1047279,980263,6.84%,,"1,047,279","980,263","Tucson, AZ MSA"
54,Fresno,CA MSA,999101,930450,7.38%,,"999,101","930,450","Fresno, CA MSA"
55,Tulsa,OK MSA,998626,937478,6.52%,,"998,626","937,478","Tulsa, OK MSA"
56,Urban Honolulu,HI MSA,974563,953207,2.24%,,"974,563","953,207","Urban Honolulu, HI MSA"
57,Omaha-Council Bluffs,NE-IA MSA,949442,865350,9.72%,,"949,442","865,350","Omaha-Council Bluffs, NE-IA MSA"
58,Worcester,MA-CT MSA,947404,916980,3.32%,,"947,404","916,980","Worcester, MA-CT MSA"
59,Bridgeport-Stamford-Norwalk,CT MSA,943332,916829,2.89%,,"943,332","916,829","Bridgeport-Stamford-Norwalk, CT MSA"
60,Greenville-Anderson,SC MSA,920477,824112,11.69%,,"920,477","824,112","Greenville-Anderson, SC MSA"
61,Albuquerque,NM MSA,918018,887077,3.49%,,"918,018","887,077","Albuquerque, NM MSA"
62,Bakersfield,CA MSA,900202,839631,7.21%,,"900,202","839,631","Bakersfield, CA MSA"
63,Albany-Schenectady-Troy,NY MSA,880381,870716,1.11%,,"880,381","870,716","Albany-Schenectady-Troy, NY MSA"
64,Knoxville,TN MSA,869046,814914,6.64%,,"869,046","814,914","Knoxville, TN MSA"
65,McAllen-Edinburg-Mission,TX MSA,868707,774769,12.12%,,"868,707","774,769","McAllen-Edinburg-Mission, TX MSA"
66,Baton Rouge,LA MSA,854884,825905,3.51%,,"854,884","825,905","Baton Rouge, LA MSA"
67,New Haven-Milford,CT MSA,854757,862477,−0.90%,,"854,757","862,477","New Haven-Milford, CT MSA"
68,Oxnard-Thousand Oaks-Ventura,CA MSA,846006,823318,2.76%,,"846,006","823,318","Oxnard-Thousand Oaks-Ventura, CA MSA"
69,El Paso,TX MSA,844124,804123,4.97%,,"844,124","804,123","El Paso, TX MSA"
70,Allentown-Bethlehem-Easton,PA-NJ MSA,844052,821173,2.79%,,"844,052","821,173","Allentown-Bethlehem-Easton, PA-NJ MSA"
71,Columbia,SC MSA,838433,767598,9.23%,,"838,433","767,598","Columbia, SC MSA"
72,North Port-Sarasota-Bradenton,FL MSA,836995,702281,19.18%,,"836,995","702,281","North Port-Sarasota-Bradenton, FL MSA"
73,Dayton-Kettering,OH MSA,807611,799232,1.05%,,"807,611","799,232","Dayton-Kettering, OH MSA"
74,Charleston-North Charleston,SC MSA,802122,664607,20.69%,,"802,122","664,607","Charleston-North Charleston, SC MSA"
75,Greensboro-High Point,NC MSA,771851,723801,6.64%,,"771,851","723,801","Greensboro-High Point, NC MSA"
76,Cape Coral-Fort Myers,FL MSA,770577,618754,24.54%,,"770,577","618,754","Cape Coral-Fort Myers, FL MSA"
77,Stockton,CA MSA,762148,685306,11.21%,,"762,148","685,306","Stockton, CA MSA"
78,Boise City,ID MSA,749202,616561,21.51%,,"749,202","616,561","Boise City, ID MSA"
