Rank,Metro ,States,Population 2019,Population 2010,Growth ,,,,
237,Redding,CA MSA,180080,177223,1.61%,,"180,080","177,223","Redding, CA MSA"
238,Joplin,MO MSA,179564,175518,2.31%,,"179,564","175,518","Joplin, MO MSA"
239,Bowling Green,KY MSA,179240,158599,13.01%,,"179,240","158,599","Bowling Green, KY MSA"
240,Jackson,TN MSA,178644,179694,−0.58%,,"178,644","179,694","Jackson, TN MSA"
241,Kingston,NY MSA,177573,182493,−2.70%,,"177,573","182,493","Kingston, NY MSA"
242,St. George,UT MSA,177556,138115,28.56%,,"177,556","138,115","St. George, UT MSA"
243,Yuba City,CA MSA,175639,166892,5.24%,,"175,639","166,892","Yuba City, CA MSA"
244,Panama City,FL MSA,174705,168852,3.47%,,"174,705","168,852","Panama City, FL MSA"
245,Muskegon,MI MSA,173566,172188,0.80%,,"173,566","172,188","Muskegon, MI MSA"
246,Iowa City,IA MSA,173105,152586,13.45%,,"173,105","152,586","Iowa City, IA MSA"
247,Abilene,TX MSA,172060,165252,4.12%,,"172,060","165,252","Abilene, TX MSA"
248,Oshkosh-Neenah,WI MSA,171907,166994,2.94%,,"171,907","166,994","Oshkosh-Neenah, WI MSA"
249,Bloomington,IL MSA,171517,169572,1.15%,,"171,517","169,572","Bloomington, IL MSA"
250,East Stroudsburg,PA MSA,170271,169842,0.25%,,"170,271","169,842","East Stroudsburg, PA MSA"
251,Burlington,NC MSA,169509,151131,12.16%,,"169,509","151,131","Burlington, NC MSA"
252,Eau Claire,WI MSA,169304,161151,5.06%,,"169,304","161,151","Eau Claire, WI MSA"
253,Bloomington,IN MSA,169230,159549,6.07%,,"169,230","159,549","Bloomington, IN MSA"
254,Hattiesburg,MS MSA,168849,162410,3.96%,,"168,849","162,410","Hattiesburg, MS MSA"
255,Waterloo-Cedar Falls,IA MSA,168522,167819,0.42%,,"168,522","167,819","Waterloo-Cedar Falls, IA MSA"
256,Pueblo,CO MSA,168424,159063,5.89%,,"168,424","159,063","Pueblo, CO MSA"
257,Blacksburg-Christiansburg,VA MSA,167531,162958,2.81%,,"167,531","162,958","Blacksburg-Christiansburg, VA MSA"
258,Kahului-Wailuku-Lahaina,HI MSA,167417,154834,8.13%,,"167,417","154,834","Kahului-Wailuku-Lahaina, HI MSA"
259,Odessa,TX MSA,166223,137130,21.22%,,"166,223","137,130","Odessa, TX MSA"
260,Coeur d'Alene,ID MSA,165697,138494,19.64%,,"165,697","138,494","Coeur d'Alene, ID MSA"
261,Auburn-Opelika,AL MSA,164542,140247,17.32%,,"164,542","140,247","Auburn-Opelika, AL MSA"
262,Janesville-Beloit,WI MSA,163354,160331,1.89%,,"163,354","160,331","Janesville-Beloit, WI MSA"
263,Wausau-Weston,WI MSA,163285,162806,0.29%,,"163,285","162,806","Wausau-Weston, WI MSA"
264,State College,PA MSA,162385,153990,5.45%,,"162,385","153,990","State College, PA MSA"
265,Sebastian-Vero Beach,FL MSA,159923,138028,15.86%,,"159,923","138,028","Sebastian-Vero Beach, FL MSA"
266,Jackson,MI MSA,158510,160248,−1.08%,,"158,510","160,248","Jackson, MI MSA"
267,Madera,CA MSA,157327,150865,4.28%,,"157,327","150,865","Madera, CA MSA"
268,Chambersburg-Waynesboro,PA MSA,155027,149618,3.62%,,"155,027","149,618","Chambersburg-Waynesboro, PA MSA"
269,Grand Junction,CO MSA,154210,146723,5.10%,,"154,210","146,723","Grand Junction, CO MSA"
270,Elizabethtown-Fort Knox,KY MSA,153928,148338,3.77%,,"153,928","148,338","Elizabethtown-Fort Knox, KY MSA"
271,Niles,MI MSA,153401,156813,−2.18%,,"153,401","156,813","Niles, MI MSA"
272,Hanford-Corcoran,CA MSA,152940,152982,−0.03%,,"152,940","152,982","Hanford-Corcoran, CA MSA"
273,Decatur,AL MSA,152603,153829,−0.80%,,"152,603","153,829","Decatur, AL MSA"
274,Bangor,ME MSA,152148,153923,−1.15%,,"152,148","153,923","Bangor, ME MSA"
275,Alexandria,LA MSA,152037,153922,−1.22%,,"152,037","153,922","Alexandria, LA MSA"
276,Idaho Falls,ID MSA,151530,133265,13.71%,,"151,530","133,265","Idaho Falls, ID MSA"
277,Wichita Falls,TX MSA,151254,151306,−0.03%,,"151,254","151,306","Wichita Falls, TX MSA"
278,Jefferson City,MO MSA,151235,149807,0.95%,,"151,235","149,807","Jefferson City, MO MSA"
279,Monroe,MI MSA,150500,152021,−1.00%,,"150,500","152,021","Monroe, MI MSA"
280,Santa Fe,NM MSA,150358,144170,4.29%,,"150,358","144,170","Santa Fe, NM MSA"
281,Homosassa Springs,FL MSA,149657,141236,5.96%,,"149,657","141,236","Homosassa Springs, FL MSA"
282,Vineland-Bridgeton,NJ MSA,149527,156898,−4.70%,,"149,527","156,898","Vineland-Bridgeton, NJ MSA"
283,Dothan,AL MSA,149358,145639,2.55%,,"149,358","145,639","Dothan, AL MSA"
284,Texarkana,TX-AR MSA,148761,149198,−0.29%,,"148,761","149,198","Texarkana, TX-AR MSA"
285,Florence-Muscle Shoals,AL MSA,147970,147137,0.57%,,"147,970","147,137","Florence-Muscle Shoals, AL MSA"
286,Valdosta,GA MSA,147292,139588,5.52%,,"147,292","139,588","Valdosta, GA MSA"
287,Albany,GA MSA,146726,153857,−4.63%,,"146,726","153,857","Albany, GA MSA"
288,Rocky Mount,NC MSA,145770,152392,−4.35%,,"145,770","152,392","Rocky Mount, NC MSA"
289,Dalton,GA MSA,144724,142227,1.76%,,"144,724","142,227","Dalton, GA MSA"
290,Sioux City,IA-NE-SD MSA,144701,143577,0.78%,,"144,701","143,577","Sioux City, IA-NE-SD MSA"
291,Flagstaff,AZ MSA,143476,134421,6.74%,,"143,476","134,421","Flagstaff, AZ MSA"
292,Morristown,TN MSA,142749,136608,4.50%,,"142,749","136,608","Morristown, TN MSA"
293,Logan,UT-ID MSA,142165,125442,13.33%,,"142,165","125,442","Logan, UT-ID MSA"
294,Rapid City,SD MSA,142107,126382,12.44%,,"142,107","126,382","Rapid City, SD MSA"
295,Lebanon,PA MSA,141793,133568,6.16%,,"141,793","133,568","Lebanon, PA MSA"
296,Winchester,VA-WV MSA,140566,128472,9.41%,,"140,566","128,472","Winchester, VA-WV MSA"
297,Sumter,SC MSA,140466,142427,−1.38%,,"140,466","142,427","Sumter, SC MSA"
298,Morgantown,WV MSA,139044,129709,7.20%,,"139,044","129,709","Morgantown, WV MSA"
299,Wheeling,WV-OH MSA,138948,147950,−6.08%,,"138,948","147,950","Wheeling, WV-OH MSA"
300,Napa,CA MSA,137744,136484,0.92%,,"137,744","136,484","Napa, CA MSA"
301,La Crosse-Onalaska,WI-MN MSA,136616,133665,2.21%,,"136,616","133,665","La Crosse-Onalaska, WI-MN MSA"
302,Sherman-Denison,TX MSA,136212,120877,12.69%,,"136,212","120,877","Sherman-Denison, TX MSA"
303,Carbondale-Marion,IL MSA,135764,139157,−2.44%,,"135,764","139,157","Carbondale-Marion, IL MSA"
304,Harrisonburg,VA MSA,134964,125228,7.77%,,"134,964","125,228","Harrisonburg, VA MSA"
305,Hammond,LA MSA,134758,121097,11.28%,,"134,758","121,097","Hammond, LA MSA"
306,Battle Creek,MI MSA,134159,136146,−1.46%,,"134,159","136,146","Battle Creek, MI MSA"
307,Springfield,OH MSA,134083,138333,−3.07%,,"134,083","138,333","Springfield, OH MSA"
308,Jonesboro,AR MSA,133860,121026,10.60%,,"133,860","121,026","Jonesboro, AR MSA"
309,The Villages,FL MSA,132420,93420,41.75%,,"132,420","93,420","The Villages, FL MSA"
310,Manhattan,KS MSA,130285,127081,2.52%,,"130,285","127,081","Manhattan, KS MSA"
311,Johnstown,PA MSA,130192,143679,−9.39%,,"130,192","143,679","Johnstown, PA MSA"
312,Albany-Lebanon,OR MSA,129749,116672,11.21%,,"129,749","116,672","Albany-Lebanon, OR MSA"
313,Mount Vernon-Anacortes,WA MSA,129205,116901,10.53%,,"129,205","116,901","Mount Vernon-Anacortes, WA MSA"
314,Bismarck,ND MSA,128949,110625,16.56%,,"128,949","110,625","Bismarck, ND MSA"
315,Lawton,OK MSA,126415,130291,−2.97%,,"126,415","130,291","Lawton, OK MSA"
316,Sierra Vista-Douglas,AZ MSA,125922,131346,−4.13%,,"125,922","131,346","Sierra Vista-Douglas, AZ MSA"
317,St. Joseph,MO-KS MSA,125223,127329,−1.65%,,"125,223","127,329","St. Joseph, MO-KS MSA"
318,Glens Falls,NY MSA,125148,128923,−2.93%,,"125,148","128,923","Glens Falls, NY MSA"
319,Pittsfield,MA MSA,124944,131219,−4.78%,,"124,944","131,219","Pittsfield, MA MSA"
320,Cleveland,TN MSA,124942,115788,7.91%,,"124,942","115,788","Cleveland, TN MSA"
321,New Bern,NC MSA,124284,126802,−1.99%,,"124,284","126,802","New Bern, NC MSA"
322,Farmington,NM MSA,123958,130044,−4.68%,,"123,958","130,044","Farmington, NM MSA"
323,Ames,IA MSA,123351,115848,6.48%,,"123,351","115,848","Ames, IA MSA"
324,Goldsboro,NC MSA,123131,122623,0.41%,,"123,131","122,623","Goldsboro, NC MSA"
325,Staunton,VA MSA,123120,118502,3.90%,,"123,120","118,502","Staunton, VA MSA"
326,Lawrence,KS MSA,122259,110826,10.32%,,"122,259","110,826","Lawrence, KS MSA"
327,San Angelo,TX MSA,122027,112966,8.02%,,"122,027","112,966","San Angelo, TX MSA"
328,Altoona,PA MSA,121829,127089,−4.14%,,"121,829","127,089","Altoona, PA MSA"
329,Mansfield,OH MSA,121154,124475,−2.67%,,"121,154","124,475","Mansfield, OH MSA"
330,Wenatchee,WA MSA,120629,110884,8.79%,,"120,629","110,884","Wenatchee, WA MSA"
331,Missoula,MT MSA,119600,109299,9.42%,,"119,600","109,299","Missoula, MT MSA"
332,Owensboro,KY MSA,119440,114752,4.09%,,"119,440","114,752","Owensboro, KY MSA"
333,Brunswick,GA MSA,118779,112370,5.70%,,"118,779","112,370","Brunswick, GA MSA"
334,Weirton-Steubenville,WV-OH MSA,116074,124454,−6.73%,,"116,074","124,454","Weirton-Steubenville, WV-OH MSA"
335,Beckley,WV MSA,115767,124898,−7.31%,,"115,767","124,898","Beckley, WV MSA"
336,Sheboygan,WI MSA,115340,115507,−0.14%,,"115,340","115,507","Sheboygan, WI MSA"
337,Muncie,IN MSA,114135,117671,−3.00%,,"114,135","117,671","Muncie, IN MSA"
338,Anniston-Oxford,AL MSA,113605,118572,−4.19%,,"113,605","118,572","Anniston-Oxford, AL MSA"
339,California-Lexington Park,MD MSA,113510,105151,7.95%,,"113,510","105,151","California-Lexington Park, MD MSA"
340,Williamsport,PA MSA,113299,116111,−2.42%,,"113,299","116,111","Williamsport, PA MSA"
341,Twin Falls,ID MSA,111290,99604,11.73%,,"111,290","99,604","Twin Falls, ID MSA"
342,Longview,WA MSA,110593,102410,7.99%,,"110,593","102,410","Longview, WA MSA"
343,Michigan City-La Porte,IN MSA,109888,111467,−1.42%,,"109,888","111,467","Michigan City-La Porte, IN MSA"
344,Kankakee,IL MSA,109862,113449,−3.16%,,"109,862","113,449","Kankakee, IL MSA"
345,Watertown-Fort Drum,NY MSA,109834,116229,−5.50%,,"109,834","116,229","Watertown-Fort Drum, NY MSA"
346,Lewiston-Auburn,ME MSA,108277,107702,0.53%,,"108,277","107,702","Lewiston-Auburn, ME MSA"
347,Sebring-Avon Park,FL MSA,106221,98786,7.53%,,"106,221","98,786","Sebring-Avon Park, FL MSA"
348,Decatur,IL MSA,104009,110768,−6.10%,,"104,009","110,768","Decatur, IL MSA"
349,Fond du Lac,WI MSA,103403,101633,1.74%,,"103,403","101,633","Fond du Lac, WI MSA"
350,Bay City,MI MSA,103126,107771,−4.31%,,"103,126","107,771","Bay City, MI MSA"
351,Gettysburg,PA MSA,103009,101407,1.58%,,"103,009","101,407","Gettysburg, PA MSA"
352,Lima,OH MSA,102351,106331,−3.74%,,"102,351","106,331","Lima, OH MSA"
353,Gadsden,AL MSA,102268,104430,−2.07%,,"102,268","104,430","Gadsden, AL MSA"
354,Ithaca,NY MSA,102180,101564,0.61%,,"102,180","101,564","Ithaca, NY MSA"
355,Mankato,MN MSA,101927,96740,5.36%,,"101,927","96,740","Mankato, MN MSA"
356,Grand Forks,ND-MN MSA,100815,98461,2.39%,,"100,815","98,461","Grand Forks, ND-MN MSA"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
